,título,título_original,año,duración,país,dirección,guion,reparto,productora,género,sinopsis,premios,puntuación_fa,votos_fa,puntuación_positiva,puntuación_neutral,puntuación_negativa,portada_url,portada_local,puntuación_imdb,votos_imdb
263,Iván el Terrible. Parte I,Ivan Groznyy I (Ivan The Terrible) Part I,1944,100 min.,Unión Soviética (URSS),Sergei M. Eisenstein,Sergei M. Eisenstein,"Nikolai Cherkasov, Serafima Birman, Ludmila Tselikovskaya, Mikhail Nazvanov, Pavel Kadochnikov, Mikhail Zharov, Mikhail Kuznetsov, Vsevolod Pudovkin",Mosfilm,Drama | Biográfico. Siglo XVI,"Terribles fueron las luchas que Iván IV el Terrible, primer zar de Rusia, tuvo que sostener contra sus enemigos del interior y del exterior para crear un estado fuerte y moderno. En 1547, a los 17 años, Iván es coronado zar en la catedral de Moscú por el patriarca Macario. El apoyo de la Iglesia confirió al acto un prestigio sagrado que sería la base de la autocracia zarista. En el interior, para combatir a los boyardos (la poderosa aristocracia feudal rusa), creó la Oprichnina, milicia muy fiel, gracias a la cual los nobles fueron asesinados o deportados, y sus tierras confiscadas y distribuidas entre los miembros de esta milicia. Nacía así una nueva aristocracia, tanto feudal como de servicio, que sirvió ciegamente al zar y contribuyó a consolidar su poder. Una vez pacificado el país, el zar acometió una política expansionista hacia el sur (conquista de Kazán y Astrakán) y hacia el este (conquista de Siberia). La expansión hacia el norte, cuyo objetivo era encontrar una salida al mar Báltico, fracasó, en cambio, completamente. (FILMAFFINITY)",['1946: Festival de Locarno: mejor fotografía'],7.9,3475,6,0,0,https://pics.filmaffinity.com/ivan_groznyy_i_ivan_the_terrible_part_i-144610287-mmed.jpg,../images/IvnelTerribleParteI1944.jpg,7.8,9186
264,Soy Cuba,Soy Cuba (Ya Kuba),1964,141 min.,Unión Soviética (URSS),Mikhail Kalatozov,"Enrique Pineda Barnett, Evgueni Evtushenko","Luz María Collazo, José Gallardo, Raúl García, Sergio Corrieri, Salvador Wood, Raquel Revuelta, Jean Bouise, Alberto Morgan, Celia Rodríguez, Fausto Mirabal, Roberto García York, María de las Mercedes Díez, Bárbara Domínguez, Luisa María Jiménez, Mario González Broche","Co-production Unión Soviética (URSS)-Cuba; Mosfilm, ICAIC",Drama. Bélico | Prostitución. Propaganda. Histórico. Revolución Cubana. Película de episodios. Película de culto,"A través de cuatro historias se describe la lenta evolución de Cuba, del régimen de Batista a la revolución de Fidel Castro. Son cuatro narraciones que refuerzan el ideal comunista frente al capitalismo. Comenzada a filmar apenas una semana después de la 'crisis de los misiles cubanos', una singular coproducción soviético-cubana en la que, a lo largo de estos cuatro episodios, Cuba se libera de sus dependencias políticas para reafirmar su identidad, singular e independiente, con sus contradicciones y esperanzas. La película fue ""redescubierta"" y dada a conocer al mundo por los maestros Martin Scorsese y Francis Ford Coppola en los años noventa. (FILMAFFINITY)",['1995: Premios Independent Spirit: Nominada a Mejor película extranjera'],7.9,1936,12,0,0,https://pics.filmaffinity.com/soy_cuba_ya_kuba-251527402-mmed.jpg,../images/SoyCuba1964.jpg,8.2,8373
265,Una mujer y tres hombres (Nos habíamos amado tanto),C'eravamo tanto amati,1974,124 min.,Italia,Ettore Scola,"Agenore Incrocci, Furio Scarpelli, Ettore Scola","Nino Manfredi, Vittorio Gassman, Stefania Sandrelli, Stefano Satta Flores, Giovanna Ralli, Aldo Fabrizi, Mike Bongiorno, Federico Fellini, Marcello Mastroianni, Vittorio De Sica, Nello Meniconi, Guidarino Guidi, Isa Barzizza","Dean Cinematografica Delta, La Deantir",Drama. Comedia,"Amarga crónica de la historia de Italia, desde la posguerra hasta los años setenta, narrada a través de un grupo de amigos de izquierdas que se conocieron cuando en 1944 lucharon contra los nazis. Este retrato del idealismo, pero también de la inevitable pérdida de las ilusiones a causa del acomodamiento burgués, fue el primer éxito internacional del realizador italiano Ettore Scola. (FILMAFFINITY)",['1976: Premios César: mejor película extranjera'],7.9,1710,,,,https://pics.filmaffinity.com/c_eravamo_tanto_amati-102194203-mmed.jpg,../images/UnamujerytreshombresNoshabamosamadotanto1974.jpg,,
266,Toy Story 3,Toy Story 3,2010,103 min.,Estados Unidos,Lee Unkrich,Michael Arndt,Animación,"Pixar Animation Studios, Walt Disney Pictures",Animación. Fantástico. Aventuras. Comedia. Infantil | Secuela. Muñecos. 3-D. Pixar. Cine familiar,"Cuando su dueño Andy se prepara para ir a la universidad, el vaquero Woody, el astronauta Buzz y el resto de sus amigos juguetes comienzan a preocuparse por su incierto futuro. Efectivamente todos acaban en una guardería, donde por ejemplo la muñeca Barbie conocerá al guapo Ken. Esta reunión de nuestros amigos con otros nuevos juguetes no será sino el principio de una serie de trepidantes y divertidas aventuras. (FILMAFFINITY)","['2010: 2 Oscar: mejor película de animación y canción. 5 nominaciones incl. película', '2010: Globos de Oro: Mejor película de animación', '2010: Premios BAFTA: Mejor largometraje de animación. 3 nominaciones', '2010: NBR - Asociación de Críticos Norteamericanos: Mejor película de animación', '2010: Premios Annie: 3 nominaciones: Mejor película animada, director, guión', '2010: Asociación de Críticos de Los Angeles: Mejor largometraje de animación', '2010: American Film Institute (AFI): Top 10 - Mejores películas del año', '2010: Satellite Awards: Mejor largometraje animación', ""2010: Critics' Choice Awards: Mejor largometraje de animación. 5 nominaciones"", '2010: Asociación de Críticos de Chicago: Mejor film de animación. 2 nominaciones', '2010: Asociación de Críticos de Boston: Mejor película de animación. 2 nominaciones', '2010: Círculo de Críticos de San Francisco: Mejor película de animación', '2010: Sindicato de Productores (PGA): Mejor película de animación. 2 nominaciones']",7.9,113788,26,1,0,https://pics.filmaffinity.com/toy_story_3-691147043-mmed.jpg,../images/ToyStory32010.jpg,8.2,764753
267,La milla verde,The Green Mile,1999,180 min.,Estados Unidos,Frank Darabont,Frank Darabont (Novela: Stephen King),"Tom Hanks, Michael Clarke Duncan, David Morse, Doug Hutchison, Sam Rockwell, Barry Pepper, Jeffrey DeMunn, Michael Jeter, Bonnie Hunt, James Cromwell, Gary Sinise, Patricia Clarkson, Graham Greene, Harry Dean Stanton, William Sadler, Paula Malcomson, Dabbs Greer, Brian Libby, Bailey Drucker","Warner Bros., Castle Rock Entertainment",Drama. Fantástico | Drama carcelario. Sobrenatural. Años 30,"Ambientada en el sur de los Estados Unidos, en plena Depresión. Paul Edgecomb es un funcionario de prisiones encargado de vigilar la ""Milla Verde"", un pasillo que separa las celdas de los reclusos condenados a la silla eléctrica. John Coffey, un gigantesco hombre negro acusado de asesinar brutalmente a dos hermanas de nueve años, está esperando su inminente ejecución. Tras una personalidad ingenua e infantil, Coffey esconde un prodigioso don sobrenatural. (FILMAFFINITY)","['1999: Oscar: 4 nominaciones a Mejor película, actor secundario, guión y sonido', '1999: Globo de Oro: Nominada a Mejor actor secundario (Duncan)', '1999: Satellite Awards: Nominada a Mejor actor de reparto (Doug Hutchison)', ""1999: Critics' Choice Awards: Mejor guión adaptado y actor sec. (Duncan). 3 nominaciones"", '1999: Sindicato de Directores (DGA): Nominada a Mejor director', '1999: Sindicato de Actores (SAG): 2 nominaciones inc. Mejor reparto', '1999: Asociación de Críticos de Chicago: 2 nom., incl. Mejor actor sec. (Duncan)']",7.9,105515,8,5,1,https://pics.filmaffinity.com/the_green_mile-631715339-mmed.jpg,../images/Lamillaverde1999.jpg,8.6,1163503
268,¿Teléfono rojo? Volamos hacia Moscú,"Dr. Strangelove, or How I Learned to Stop Worrying and Love the Bomb",1964,93 min.,Reino Unido,Stanley Kubrick,"Stanley Kubrick, Terry Southern, Peter George (Novela: Peter George )","Peter Sellers, George C. Scott, Sterling Hayden, James Earl Jones, Keenan Wynn, Slim Pickens, Peter Bull, Tracy Reed, Jack Creley, Frank Berry, Glenn Beck, Shane Rimmer, Paul Tamarin, Gordon Tanner, Robert O'Neil, Roy Stephens","Columbia Pictures, Hawk Films",Comedia. Bélico | Sátira. Comedia negra. Guerra Fría. Holocausto nuclear,"Convencido de que los comunistas están contaminando los Estados Unidos, un general ordena, en un acceso de locura, un ataque aéreo nuclear sorpresa contra la Unión Soviética. Su ayudante, el capitán Mandrake, trata de encontrar la fórmula para impedir el bombardeo. Por su parte, el Presidente de los EE.UU. se pone en contacto con Moscú para convencer al gobierno soviético de que el ataque no es más que un estúpido error. Mientras tanto, el asesor del Presidente, un antiguo científico nazi, el doctor Strangelove, confirma la existencia de la “Máquina del Juicio Final”, un dispositivo de represalia soviético capaz de acabar con la humanidad para siempre. (FILMAFFINITY)","['1964: 4 nominaciones al Oscar: Mejor película, director, actor (Peter Sellers), guión', '1964: Premios BAFTA: Mejor película, Film británico y Dir. artística (B&W). 6 nominaciones', '1964: Círculo de Críticos de Nueva York: Mejor Director. 3 nominaciones', '1964: Sindicato de Directores (DGA): Nominada a Mejor director', '1964: Sindicato de Guionistas (WGA): Mejor guión comedia']",7.9,46778,11,0,0,https://pics.filmaffinity.com/dr_strangelove_or_how_i_learned_to_stop_worrying_and_love_the_bomb-706693068-mmed.jpg,../images/TelfonorojoVolamoshaciaMosc1964.jpg,8.4,454832
269,Stalker,Stalker,1979,161 min.,Unión Soviética (URSS),Andrei Tarkovsky,"Arkadiy Strugatskiy, Boris Strugatskiy, Andrei Tarkovsky (Novela: Arkadiy Strugatskiy, Boris Strugatskiy)","Aleksandr Kaidanovsky, Anatoly Solonitsyn, Nikolai Grinko, Natalya Abramova, Alisa Freyndlikh, Faime Jurno, Raymo Rendi",Mosfilm,Ciencia ficción. Drama. Intriga | Distopía. Película de culto,"En un lugar de Rusia llamado ""La Zona"", hace algunos años se estrelló un meteorito. A pesar de que el acceso a este lugar está prohibido, los ""stalkers"" se dedican a guiar a quienes se atreven a aventurarse en este inquietante paraje. (FILMAFFINITY)",['1979: Cannes: Premio del Jurado Ecuménico'],7.9,13441,9,1,2,https://pics.filmaffinity.com/stalker-482163380-mmed.jpg,../images/Stalker1979.jpg,8.2,119044
270,Días sin huella,The Lost Weekend,1945,101 min.,Estados Unidos,Billy Wilder,"Charles Brackett, Billy Wilder (Novela: Charles R. Jackson)","Ray Milland, Jane Wyman, Phillip Terry, Howard Da Silva, Doris Dowling, Frank Faylen, Mary Young, Anita Bolster, Lilian Fontaine, Frank Orth, Lewis L. Russell",Paramount Pictures,Drama | Alcoholismo,"Don Birnam (Ray Milland) es un escritor fracasado a causa de su adicción al alcohol, adicción que lo ha destruido física y moralmente y lo ha convertido en un hombre desprovisto de voluntad. Con tal de seguir bebiendo es capaz de todo, incluso de robar. Tanto su novia (Jane Wyman) como su hermano intentan por todos los medios regenerarlo, pero sus esfuerzos parecen estériles. (FILMAFFINITY)","['1945: 4 Oscars: Mejor película, director, actor (Milland), guión adap. 7 nom.', '1945: Globos de Oro: Mejor película, director y actor (Ray Milland)', '1946: Festival de Cannes: Gran Premio del Festival (Ex-aequo). Mejor actor (Milland)', '1945: Círculo de Críticos de Nueva York: Mejor película, director y actor (Milland)', '1945: National Board of Review: Mejor actor y Top 10 Mejores películas del año']",7.9,9553,7,0,0,https://pics.filmaffinity.com/the_lost_weekend-832113972-mmed.jpg,../images/Dassinhuella1945.jpg,7.9,33893
271,Bill Hicks: Revelations (TV),Bill Hicks: Revelations (TV),1993,80 min.,Reino Unido,Chris Bould,Bill Hicks,Bill Hicks,Tiger Aspect Productions,Comedia | Stand-Up. Telefilm,Especial Stand-Up del comediante norteamericano Bill Hicks. (FILMAFFINITY),,7.9,369,,,,https://pics.filmaffinity.com/bill_hicks_revelations_tv-376194390-mmed.jpg,../images/BillHicksRevelationsTV1993.jpg,,
272,Irma la dulce,Irma la Douce,1963,142 min.,Estados Unidos,Billy Wilder,"Billy Wilder, I.A.L. Diamond (Teatro: Alexandre Breffort)","Jack Lemmon, Shirley MacLaine, Lou Jacobi, Bruce Yarnell, Herschel Bernardi, Hope Holiday, Joan Shawlee, Grace Lee Whitney, Paul Dubov, Howard McNear, Cliff Osmond, Diki Lerner, Herb Jones, Ruth Earl, Jane Earl, Tura Satana, Lou Krugman, James Brown, Bill Bixby, John Alvin, Susan Woods, Harriette Young, Sheryl Deauville, Billy Beck, Jack Sahakian, James Caan",United Artists,Comedia | Prostitución. Comedia romántica,"Un infeliz gendarme, fiel cumplidor de su trabajo, se enamora perdidamente de una prostituta a la que detiene en una redada. Por ella dejará su trabajo, se enfrentará al chulo que la explota y, gracias a un golpe de suerte, se convertirá en el nuevo matón del pintoresco barrio de ""Les Halles"", el mercado de abastos de París. A partir de ese momento, aunque con ciertos escrúpulos, vive de la chica, que lo considera su nuevo protector, y él por amor la deja hacer. (FILMAFFINITY)","['1963: Oscar: Mejor banda sonora (adaptada). 3 nominaciones', '1963: Globos de Oro: Mejor actriz musical/comedia (MacLaine). 3 nominaciones', '1964: Premios BAFTA: Nominada a Mejor actriz extranjera (Shirley MacLaine)', '1963: Premios David di Donatello: Mejor actriz extranjera (Shirley MacLaine)', '1963: Sindicato de Guionistas (WGA): Nominada a Mejor guión comedia']",7.9,33302,3,3,1,https://pics.filmaffinity.com/irma_la_douce-459669561-mmed.jpg,../images/Irmaladulce1963.jpg,7.4,17521
273,L'Atalante,L'Atalante,1934,82 min.,Francia,Jean Vigo,"Jean Vigo, Albert Riera, Jean Guinée","Jean Dasté, Dita Parlo, Michel Simon, Gilles Margaritis, Louis Lefebvre, Maurice Gilles, Raphaël Diligent",Jean-Louis Nounez (Distribuidora: Gaumont-Franco Film-Aubert),Drama. Romance | Realismo poético francés,"Jean y Juliette contraen matrimonio y emprenden su viaje de bodas a bordo de L'Atalante, una barcaza de la cual Jean es capitán. Junto con el marinero Père Jules y un joven cabinero, la pareja navega por los canales cercanos al Sena. El largo viaje resulta aburrido para Juliette, quien ansía conocer la Ciudad de la luz. Jean cumple entonces el deseo de su joven esposa y la lleva a París. (FILMAFFINITY)",,7.9,4748,11,1,0,https://pics.filmaffinity.com/l_atalante-287973504-mmed.jpg,../images/LAtalante1934.jpg,7.8,14668
274,La hierba errante,Ukigusa (Floating Weeds),1959,128 min.,Japón,Yasujirō Ozu,"Yasujirō Ozu, Kogo Noda","Ganjiro Nakamura, Haruko Sugimura, Hiroshi Kawaguchi, Machiko Kyô, Ayako Wakao, Hitomi Nozoe, Chishu Ryu, Koji Mitsui, Haruo Tanaka",Daiei Studios,Drama | Remake. Teatro,Remake de un film mudo dirigido por el propio Ozu en el año 1934. Narra la historia de un grupo de actores ambulantes que van a parar a una pequeña población de provincias. Allí el actor principal se reencuentra con una antigua amante y con un hijo ilegítimo. (FILMAFFINITY),,7.9,1418,9,0,0,https://pics.filmaffinity.com/ukigusa_floating_weeds-149228130-mmed.jpg,../images/Lahierbaerrante1959.jpg,8.0,7299
275,Gladiator,Gladiator,2000,150 min.,Estados Unidos,Ridley Scott,"David Franzoni, John Logan, William Nicholson","Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed, Richard Harris, Ralf Moeller, Derek Jacobi, Djimon Hounsou, David Schofield, John Shrapnel, Spencer Treat Clark, Tomas Arana, David Hemmings, Tommy Flanagan, Sven-Ole Thorsen, Tony Curran, Giorgio Cantarini, Omid Djalili, Giannina Facio, Nicholas McGaughey, Chris Kell, John Quinn, Alun Raglan, David Bailie, Chick Allan, David Nicholls, Al Ashton, Billy Dowd, Ray Calleja, Allan Corduner, Michael Mellinger, Said Amel, Adam Levy, Gilly Gilchrist, Graham Mullins","Co-production Estados Unidos-Reino Unido; Universal Pictures, DreamWorks SKG, Scott Free Productions, Mill Film, C&L, Red Wagon Productions, Dawliz",Acción. Aventuras. Drama | Antigua Roma. Esclavitud. Venganza. Cine épico,"En el año 180, el Imperio Romano domina todo el mundo conocido. Tras una gran victoria sobre los bárbaros del norte, el anciano emperador Marco Aurelio (Richard Harris) decide transferir el poder a Máximo (Russell Crowe), bravo general de sus ejércitos y hombre de inquebrantable lealtad al imperio. Pero su hijo Cómodo (Joaquin Phoenix), que aspiraba al trono, no lo acepta y trata de asesinar a Máximo. (FILMAFFINITY)","['2000: 5 Oscars: Película, actor (Crowe), vestuario, sonido, efectos visuales. 12 nom.', '2000: 2 Globos de Oro: Mejor película drama y BSO. 5 nominaciones, incl. Director.', '2000: 4 Premios BAFTA: Mejor película, fotografía, montaje y diseño prod. 14 nom.', '2000: 2 premios National Board of Review: Mejor diseño de producción y actor sec.', '2000: American Film Institute (AFI): Top 10 - Mejores películas del año', ""2000: 6 Critics' Choice Awards: Incluyendo mejor película, actor, actor sec. y fot."", '2000: Sindicato de Productores (PGA): Mejor película', '2000: Sindicato de Directores (DGA): Nominada a Mejor director', '2000: Sindicato de Actores (SAG): 3 nominaciones, incl. Mejor reparto', '2000: Asociación de Críticos de Chicago: Nom. a Mejor fotografía y banda sonora']",7.9,182972,10,4,1,https://pics.filmaffinity.com/gladiator-564554218-mmed.jpg,../images/Gladiator2000.jpg,8.5,1356299
276,American Beauty,American Beauty,1999,122 min.,Estados Unidos,Sam Mendes,Alan Ball,"Kevin Spacey, Annette Bening, Thora Birch, Allison Janney, Peter Gallagher, Mena Suvari, Wes Bentley, Chris Cooper, Scott Bakula, Sam Robards, Barry Del Sherman",DreamWorks SKG,Drama. Comedia | Comedia dramática. Familia. Sátira. Película de culto,"Lester Burnham (Kevin Spacey), un cuarentón en crisis, cansado de su trabajo y de su mujer Carolyn (Annette Bening), despierta de su letargo cuando conoce a la atractiva amiga (Mena Suvari) de su hija (Thora Birch), a la que intentará impresionar a toda costa. (FILMAFFINITY)","['1999: 5 Oscars: película, director, actor (Kevin Spacey), guión, fotografía. 8 Nominaciones', '1999: 3 Globos de Oro: Mejor película - drama, director, guión. 6 nominaciones', '1999: 6 Premios BAFTA, incluyendo mejor película y actor (Spacey) 14 nominaciones', '1999: Premios Cesar: nominada a la mejor película extranjera', '1999: Premios David di Donatello: Nominada a mejor film extranjero', '1999: 2 premios National Board of Review: Mejor película, actor (Wes Bentley)', '1999: Festival de Toronto: Mejor director (Sam Mendes), Premio del Público', '1999: Asociación de Críticos de Los Angeles: Mejor director. 4 nominaciones', '1999: Asociación de Críticos de Chicago: 4 premios, incl. Mejor película. 7 nom.', '1999: Círculo de Críticos de Nueva York: Nominada a mejor película y ópera prima', '1999: Critics Choice Awards: Mejor película, director y guión original', '1999: Asociación de Críticos de Boston: Nominada a mejor película y actor (Spacey)', '1999: Sindicato de Productores (PGA): Mejor película', '1999: Sindicato de Directores (DGA): Mejor director', '1999: Sindicato de Guionistas (WGA): Mejor guión original', '1999: Sindicato de Actores (SAG): Mejor reparto, actor (Spacey) y actriz (Bening)']",7.9,167711,13,0,0,https://pics.filmaffinity.com/american_beauty-518516554-mmed.jpg,../images/AmericanBeauty1999.jpg,8.3,1078941
277,Up,Up,2009,96 min.,Estados Unidos,"Pete Docter, Bob Peterson","Bob Peterson, Pete Docter (Historia: Bob Peterson, Pete Docter, Tom McCarthy)",Animación,"Pixar Animation Studios, Walt Disney Pictures",Animación. Aventuras. Comedia. Infantil | Amistad. Vejez/Madurez. 3-D. Cine familiar. Pixar,"Carl Fredricksen es un viudo vendedor de globos de 78 años que, finalmente, consigue llevar a cabo el sueño de su vida: enganchar miles de globos a su casa y salir volando rumbo a América del Sur. Pero ya estando en el aire y sin posibilidad de retornar Carl descubre que viaja acompañado de Russell, un explorador que tiene ocho años y un optimismo a prueba de bomba. (FILMAFFINITY)","['2009: 2 Oscars: Mejor película de animación, bso. 5 nominaciones', '2009: Premios Annie: Mejor película y mejor director. 9 nominaciones', '2009: 2 Globos de Oro: Mejor filme de animación, banda sonora', '2009: 2 Premios BAFTA: Mejor película de animación y banda sonora. 4 nominaciones', '2009: Círculo de Críticos de Nueva York: Nominada a mejor película de animación', '2009: Festival de Cannes: Sección Oficial (Fuera de concurso)', '2009: Satellite Awards: Nominada a Mejor largometraje animación', '2009: Asociación de Críticos de Los Angeles: Nominada a Mejor largometraje de animación', '2009: American Film Institute (AFI): Top 10 - Mejores películas del año', ""2009: 2 Critics' Choice Awards: Mejor largometraje de animación y banda sonora. 4 nom."", '2009: Asociación de Críticos de Chicago: Mejor film de animación y Banda sonora', '2009: Asociación de Críticos de Boston: Mejor película de animación', '2009: Sindicato de Productores (PGA): Mejor película de animación. 2 nominaciones']",7.9,140351,15,0,0,https://pics.filmaffinity.com/up-672315222-mmed.jpg,../images/Up2009.jpg,8.2,946359
278,Snatch. Cerdos y diamantes,Snatch,2000,104 min.,Reino Unido,Guy Ritchie,Guy Ritchie,"Jason Statham, Stephen Graham, Brad Pitt, Alan Ford, Vinnie Jones, Rade Serbedzija, Dennis Farina, Benicio del Toro, Mike Reid, Ade, Robbie Gee, Lennie James, Ewen Bremner, Jason Flemyng, Andy Beckwith, William Beck, Nicola Collins, Charlesa Cork, James Cuningham, Sorcha Cusack, Sam Douglas, Adam Fogerty, Goldie, Chuck Julian, Dave Legeno, Eric Meyers, Jason Ninh Cao, Trevor Steedman, Mick Theo, Velibor Topic, Liam McMahon, James Warren, Tim Faraday","Ska Films, Columbia Pictures",Comedia | Comedia negra. Crimen. Mafia. Robos & Atracos. Película de culto. Historias cruzadas,"Franky es un ladrón de diamantes que tiene que entregar un valioso ejemplar a su jefe Avi, pero, antes de hacerlo, se deja convencer por un tal Boris para apostar en un combate ilegal de boxeo. En realidad, se trata de una trampa para arrebatarle el diamante. Cuando Avi se entera, contrata a Tony para encontrar a Franky y al diamante. Descubierto el triste destino de Franky, la recuperación de la gema desaparecida provoca una situación caótica, donde el engaño, el chantaje y el fraude se mezclan de forma sangrienta con perros, diamantes, boxeadores y gran variedad de armas. (FILMAFFINITY)","['2000: National Board of Review: Premio especial (a la excelencia en dirección)', '2000: Premios Empire: Mejor Director y Actor Británico (Vinnie Jones)', '2000: Satellite Awards: Nominado Mejor Actor de Reparto (Brad Pitt)', '2000: Golden Reel Award: Mejor Edición de Sonido en Película Extranjera', '2000: Asociación de Críticos de Phoenix: Nominada a Mejor Montaje', '']",7.9,133058,6,3,2,https://pics.filmaffinity.com/snatch-921179475-mmed.jpg,../images/SnatchCerdosydiamantes2000.jpg,8.3,789451
279,Big Fish,Big Fish,2003,126 min.,Estados Unidos,Tim Burton,John August (Novela: Daniel Wallace),"Ewan McGregor, Albert Finney, Billy Crudup, Jessica Lange, Alison Lohman, Helena Bonham Carter, Steve Buscemi, Danny DeVito, Marion Cotillard, Jeff Campbell, Missi Pyle, Robert Guillaume, David Denman, Loudon Wainwright, Deep Roy, Miley Cyrus","Columbia Pictures, Zanuck Company, Jinks-Cohen Company (Distribuidora: Columbia Pictures)",Drama. Fantástico. Aventuras | Familia. Realismo mágico. Años 80,"William Bloom (Billy Crudup) no tiene muy buena relación con su padre (Albert Finney), pero tras enterarse de que padece una enfermedad terminal, regresa a su hogar para estar a su lado en sus últimos momentos. Una vez más, William se verá obligado a escucharlo mientras cuenta las interminables historias de su juventud. Pero, en esta ocasión, tratará de averiguar cosas que le permitan conocer mejor a su padre, aunque para ello tendrá que separar claramente realidad y fantasía, elementos que aparecen siempre mezclados en los relatos de su progenitor. (FILMAFFINITY)","['2003: Nominada al Oscar: Mejor banda sonora original', '2003: 4 nominaciones al Globo de Oro, incluyendo mejor película comedia o musical', '2003: 7 nominaciones BAFTA, incluyendo mejor película, director y guión adaptado', '2003: Premios David di Donatello: Nominada a mejor film extranjero', ""2003: Critics' Choice Awards: 5 nominaciones, incluyendo mejor película y director"", '2003: Asociación de Críticos de Chicago: Nom. Mejor director y Mejor banda sonora']",7.9,128607,9,3,3,https://pics.filmaffinity.com/big_fish-838287233-mmed.jpg,../images/BigFish2003.jpg,8.0,418052
280,WALL•E,WALL•E,2008,103 min.,Estados Unidos,Andrew Stanton,"Andrew Stanton, Jim Reardon (Historia: Andrew Stanton, Pete Docter)","Animación, Fred Willard","Walt Disney Pictures, Pixar Animation Studios",Animación. Ciencia ficción. Romance. Infantil | Robots. Futuro postapocalíptico. Cine familiar. Pixar,"En el año 2800, en un planeta Tierra devastado y sin vida, tras cientos de solitarios años haciendo aquello para lo que fue construido -limpiar el planeta de basura- el pequeño robot WALL•E (acrónimo de Waste Allocation Load Lifter Earth-Class) descubre una nueva misión en su vida (además de recolectar cosas inservibles) cuando se encuentra con una moderna y lustrosa robot exploradora llamada EVE. Ambos viajarán a lo largo de la galaxia y vivirán una emocionante e inolvidable aventura... (FILMAFFINITY)","['2008: Premios Oscar: Mejor largometraje animación. 6 nominaciones', '2008: Globo de Oro: Mejor película de animación. 2 nominaciones', '2008: Premios BAFTA: Mejor película de animación. 2 nominaciones', '2008: Círculo de Críticos de Nueva York: Mejor película de animación', '2008: Premios Annie: 7 nominaciones, incluyendo Mejor largometraje y Mejor dirección', '2008: National Board of Review: Mejor película de animación', '2008: Festival de Toronto: Mejor película de animación', '2008: Asociación de Críticos de Los Angeles: Mejor película', '2008: American Film Institute (AFI): Top 10 - Mejores películas del año', ""2008: Critics' Choice Awards: Mejor largometraje de animación. 3 nominaciones"", '2008: Asociación de Críticos de Chicago: Mejor película, Guión, Banda Sonora y film de animación', '2008: Asociación de Críticos de Boston: Mejor película (ex aequo) y película de animación', '2008: Sindicato de Productores (PGA): Mejor película de animación', '2008: Premios David di Donatello: Nominada a mejor film extranjero']",7.9,126320,15,0,0,https://pics.filmaffinity.com/walloe-973488527-mmed.jpg,../images/WALLE2008.jpg,8.4,1011471
281,Chinatown,Chinatown,1974,131 min.,Estados Unidos,Roman Polanski,Robert Towne,"Jack Nicholson, Faye Dunaway, John Huston, Perry Lopez, Burt Young, John Hillerman, Darrel Zwerling, Roman Polanski, Diane Ladd, Richard Bakalyan, Joe Mantell, Roy Jenson, James Hong, Bruce Glover, Jerry Fujikawa, Roy Roberts, James O'Rear, Noble Willingham, Belinda Palmer, Rance Howard, Beulah Quo, Claudio Martínez, Elizabeth Harding",Robert Evans Company (Distribuidora: Paramount Pictures),Cine negro. Intriga. Drama | Neo-noir. Crimen. Años 30,"Los Ángeles, 1937. El detective Gittes, especializado en divorcios, recibe la visita de la esposa de Mulwray, el jefe del Servicio de Aguas de la ciudad, que sospecha que su marido la engaña. Al mismo tiempo, Gittes descubre que los agricultores acusan a Mulwray de corrupción por su negativa a construir un pantano que paliaría la sequía que sufren. Poco después, el escándalo salta a la prensa, pero la cosa se complica cuando una mujer se presenta en el despacho de Gittes con una sorprendente revelación. (FILMAFFINITY)","['1974: Oscar: Mejor guión original. 11 nominaciones', '1974: 4 Globos de Oro, incluyendo Mejor película - Drama. 7 nominaciones', '1974: Premios BAFTA: Mejor director, actor (Nicholson) y guión. 11 nominaciones', '1974: Círculo de Críticos de Nueva York: Mejor actor (Nicholson). 2 nominaciones', '1974: Sindicato de Directores (DGA): Nominada a Mejor director', '1974: Sindicato de Guionistas (WGA): Mejor guión original drama']",7.9,44293,11,2,0,https://pics.filmaffinity.com/chinatown-715792129-mmed.jpg,../images/Chinatown1974.jpg,8.1,297903
